agency_slug,observed_name,observed_date,source,source_detail,notes
aging,Department for the Aging,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 18,
buildings,Department of Buildings,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 21,
business-services,Department of Business Services,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 32,
campaign-finance-board,New York City Campaign Finance Board,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 37,
city-planning,Department of City Planning,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 39,
comptroller,Office of the Comptroller,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 49,
consumer-affairs,Department of Consumer Affairs,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 57,
contracts,Office of Contracts,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 59,
correction,Department of Correction,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 61,
employment,Department of Employment,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 64,
environmental-protection,Department of Environmental Protection,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 66,
finance,Department of Finance,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 71,
fisa,Financial Information Services Agency,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 82,
fire,Fire Department,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 84,
general-services,Department of General Services,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 88,
health,Department of Health,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 92,
hpd,Department of Housing Preservation and Development,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 104,
hra,Human Resources Administration,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 106,
juvenile-justice,Department of Juvenile Justice,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 108,
labor-relations,Office of Labor Relations,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 113,
landmarks,Landmarks Preservation Commission,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 115,
law,Law Department,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 117,
loft-board,NYC Loft Board,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 119,
omb,Office of Management & Budget,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 121,
mental-health,"Department of Mental Health, Mental Retardation and Alcoholism Services",1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 126,
parks,Department of Parks and Recreation,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 129,
personnel,Department of Personnel,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 134,
police,Police Department,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 138,
probation,Department of Probation,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 140,
deputy-mayor-public-safety,Office of the Deputy Mayor for Public Safety (formerly the Office of the Coordinator of Criminal Justice),1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 142,
records,Department of Records and Information Services,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 145,
sanitation,Department of Sanitation,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 147,
sheriff,Office of the City Sheriff,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 149,
tlc,Taxi and Limousine Commission,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 151,
telecommunications-energy,Department of Telecommunications and Energy,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 154,
transportation,Department of Transportation,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 156,
youth-services,Department of Youth Services,1993-04,"Public Data Directory, First Edition (COPIC)",pdf_page 168,
